Game Title,Set Title,Year,Format,Moby ID,BoardGameGeek ID,IGDB ID,Designer(s),Publisher,Description,Mechanics,Facilitator Present,Facilitator participates in game?,Players Min,Players Max,Smells Min,Smells Max,Smells,Example Smells,Smell Specificity (Swappability),Specificity Note,Smell Count Flexibility,Flexibility Note,Cost,Currency,Target Audience,Descriptive Source,citationKey,Tags,Variant,URLs,Target Species,Realized or Description?,Complexity_1_Light,Complexity_2_MediumLight,Complexity_3_Medium,Complexity_4_MediumHeavy,Complexity_5_Heavy,Images,Notes
Poptopia,,2013,Digital,,,,Zamaxt Games,,"""Poptopia"" is a mobile tapping game where players must pop falling popcorn kernels before they hit the ground, which then feeds a disembodied mouth. As the game progresses, the kernels multiply, increasing the difficulty. Reaching target scores unlocks new levels. The game is paired with a scent-emitting dongle that releases the smell of popcorn during gameplay.","Experiencing, Rewarding",None,,1,1,1,1,popcorn,,Exact,Needs to be the smell of popcorn.,Fixed,"There are no other conceptual aspects beyond the reward of popcorn, so it's hard to expand.",,,,,,"Commercially available, Digital game",,https://www.cnet.com/culture/popcorn-wafting-poptopia-may-be-first-scented-mobile-game/,Human,,,,,,,,
Pucker Up,,2022,Analog,,,,Food Fight,,"""Pucker Up"" is a sour candy endurance challenge where two players compete to see who can withstand the intense taste of super sour candy powder the longest. The game includes an hourglass timer, a phone stand for easy recording (perfect for TikTok challenges), two bottles filled with extreme sour powder, and a scratch-off card for added fun. The goal is simple: endure the sour sensation without reacting until the timer runs out.\","Eating, Experiencing, Punishing",Player,TRUE,2,,1,1,extreme sour candy powder,,High,Challenge is specific to particular edible item.,Expandable Only,,10.95,USD,12+,,,Commercially available,,https://blaircandy.com/food-fight-pucker-up-game.html,Human,,,,,,,,
Pup's Smelly Adventure,,2017,Analog,,,,Tammy Burnstock,,"In ""Pup's Smelly Adventure,"" young children embark on a scent-filled quest alongside Emma and her dog, Pup, to solve the mystery of Pup's missing chew shoe. Set outdoors, the children use their sense of smell to follow clues hidden in various aromas. As they progress, they encounter shoes with distinct smells, such as dog musk, blooming flowers, and chocolate, leading them closer to Pup's lost treasure. The game combines interactive storytelling with songs and scent exploration.","Matching, Discriminating",Actor,FALSE,1,,4,4,"dog, flowers, exotic, chocolate",,None,,Fully Flexible,Must at least include the dog scent for matching the shoe.,,,3-8 years,Burnstock 2017,,"Art, Educational",,https://scentedstorytelling.com/2017/02/25/smelly-puppet-show/,Human,,,,,,,,
Quiz - scents in different media,,2013,Analog,,,,Yolanda Uriz Elizalde,,"A scent quiz game where three different fragrances are each infused into three different carriers (alcohol, oil, and incense) resulting in nine variations. Players must identify the original scent across these mediums, highlighting how scent perception shifts depending on the delivery method. The task is intentionally challenging due to the tonal changes caused by each medium.","Identifying, Experiencing",None,,1,1,9,9,,,None,,Fully Flexible,,,,,Ueda 2020,,Art,,,Human,,,,,,,,
Quiz on odour strength and proportion,,2013,Analog,,,,Maurice Abath,,"A scent quiz based on fundamental perfumery concepts. Players must first guess the concentration level of the scent, then estimate the ratio between two blended fragrances.","Identifying, Organizing",None,,1,1,6,6,,,None,,Fully Flexible,,,,,Ueda 2020,,Art,,,Human,,,,,,,,
Quiz Samurai,,2005,Digital,,,,"Yasuyuki Yanagida, Takuya Adachi, Tsutomu Miyasato, Akira Tomono, Shinjiro Kawato, Haruo Noma, Kenichi Hosaka",,"In ""Quiz Samurai,"" players answer multiple-choice questions, and the olfactory feedback depends on their response. A correct answer triggers a pleasant smell, while an incorrect one emits an unpleasant scent like ammonia. This game enhances the interactive experience with both visual and olfactory cues.","Rewarding, Punishing",None,,1,1,2,2,"pleasant, ammonia",,Medium,Needs a pleasant and unpleasant smell for feedback.,Fixed,,,,,Yanagida et al. 2005,,"Research, Experimental game, Conditioning game",,https://www.researchgate.net/publication/228714797_Integrating_a_projection-based_olfactory_display_with_interactive_audio-visual_contents,Human,,,,,,,QuizSamurai_2005,
Remini-scent,,2023,Mixed,,,,Yoko Iwasaki,,Players attempt to identify scents one might encounter in a Japanese grade school in the 1962.,Identifying,None,,1,1,2,,,,High,Scents one might encounter in a Japanese grade school in the 1962.,Fully Flexible,,,,,,,"Art, Research",,,Human,,,,,,,,
Remini-scent Radio,,2024,Mixed,,,,Lydia Swedberg,,"""Remini-scent Radio"" is an olfactory storytelling game designed to trigger memories through scent. Players insert one of several pre-scented pods into a vintage-style radio device. Each pod releases a specific fragrance (such as apple pie or motor oil) while also triggering a related audio recording, such as a personal story, music, or ambient sound. The game invites players to guess or recall what the scent represents before or while listening to the story.","Experiencing, Recalling",None,,1,1,1,,,"apple pie, motor oil, fresh-cut grass, lavender, burnt toast",None,,Fully Flexible,,,,,,,"Research, Niedenthal-related",,https://mau.diva-portal.org/smash/record.jsf?pid=diva2%3A1867420,Human,,,,,,,,
Remote ikebana,,2012,Digital,,,,"Pingguo Huang, Yutaka Ishibashi, Norishige Fukushima, Shinji Sugawara",,"In the ""Remote Ikebana"" game, players participate in a virtual flower arrangement activity. Using olfactory and haptic feedback, players select and place flowers in a vase, with scents dynamically released based on the proximity and movement of the flowers. Players use a PHANToM haptic interface to manipulate virtual flowers, and the system releases corresponding scents (like rose or freesia) via the SyP@D2 olfactory display when players' viewpoints enter a predefined ""smell space"" around the flower.","Experiencing, Composing",None,,1,2,3,3,"rose, lily, freesia",,Medium,Scents must match flowers used in ikebana.,Fully Flexible,,,,,Huang et al. 2012,,"Research, Design game, Experimental game",,http://ieeexplore.ieee.org/document/6388111/,Human,,,,,,,,
Rock Paper Spray,,2019,Analog,,,,Kazuhide Shibata,,"A scent-based variation of rock-paper-scissors using smells associated with fire, water, and grass. Two players stand two meters apart and simultaneously spray their chosen scent when prompted. As the sprayed aromas drift toward each other, players smell their opponent's choice and then use gestures to declare who wins.","Identifying, Organizing, Transacting",None,,2,2,3,3,"fire, water, grass",,Medium,"Scents are meant to evoke fire, water, and grass.",Fixed,"The number of smells is fixed to the number of gestures in ""Rock, Paper, Scissors.""",,,,Ueda 2020,,"Art, Translating existing game",,Kind of uses the slowness of smelling to add suspence,Human,,,,,,,,
Rosewater egg bombs,,1660,Analog,,,,Robert May,,"As the finale to an elaborate tabletop spectacle, guests engage in a playful olfactory game using eggshells filled with rosewater. Carefully prepared in advance (emptied, refilled, and arranged upright in rings of salt around decorative centerpieces like a ship, a stag, and a castle) these fragrant vessels are tossed between guests ""to sweeten the stink of powder"" after the staged cannon fire and surprise reveals. ","Emanating, Pranking, Transacting",None,,1,,1,1,rose water,,,,,,,,,May 1660,,"Cultural, Party game",,https://www.gutenberg.org/cache/epub/22790/pg22790-images.html,Human,,,,,,,,
Royal Roulette,,2018,Analog,,,,Kevin Ong,,"""Royal Roulette"" is a multisensory deduction game structured around a five-course Japanese meal and a dessert, where flavor (particularly the surprise of heat) is used to simulate poison detection. Played by five participants, the game tasks players with identifying which course in their meal contains a ""malicious"" ingredient: a raspberry soaked in raspberry syrup and Tabasco. Each course serves a different fruit to each player, and every player receives a Tabasco-laced raspberry exactly once. Players are informed through an in-game narrative that a traitor is suspected of poisoning the royal banquet food, and the participants, as royal household members, must determine both the poisonous ingredient and its source. Each raspberry imparts a sharp, delayed burn (from Tabasco) after initial sweetness, helping players identify it as the ""suspicious"" element. This structure allows for taste-based storytelling, where participants deduce who received which fruits in which course to trace the traitor. At dessert, players are presented with six fruit-filled gelatin cups and must collectively choose which ones are safe to eat, using knowledge gathered throughout the game. The Tabasco-laced raspberry dessert is left uneaten, signifying successful deduction.","Eating, Discriminating, Damaging, Signaling",Host,FALSE,5,5,6,6,"blueberry, kiwi, cantaloupe, strawberry, raspberry (with Tabasco), mango",,High,"Each fruit is clearly identifiable, and the gameplay relies on players discerning the raspberry with Tabasco from the other fruits through taste and smell. The distinctiveness of the Tabasco-enhanced raspberry plays a crucial narrative role and cannot be replaced arbitrarily without altering gameplay.",Fixed,"There are exactly 6 fruits, one of which (raspberry) is ""poisoned."" Each player receives 5 of the 6 fruits (1 per course), and all 6 must be present for the logic of deduction and fair gameplay to function.",,,,,,"Research, Niedenthal-related",,https://www.diva-portal.org/smash/record.jsf?pid=diva2%3A1482470,Human,,,,,,,,
Royal Royale,,2018,Analog,,,,Kevin Ong,,"""Royal Royale"" is a multi-course, narrative-driven olfactory and gustatory game designed as an immersive dining experience for five players. Structured around the conceit of a royal inheritance, players must decipher clues hidden within their food to determine who among them is the rightful heir to the throne. The game unfolds over three Japanese-inspired courses and a dessert, each paired with a poetic riddle and a challenge... (1) Course One: Gyoza (Fried Dumplings) - Each player receives two standard dumplings and one secretly spiked with wasabi. Players must maintain composure while eating. If anyone reacts too strongly, the course is removed for everyone. This course tests physical tolerance and introduces the clue “ONE”, referring to the number of spicy dumplings. (2) Course Two: Tofu Miso Soup - Players eat blindfolded, relying on taste and texture to identify ingredients. Clues (“A”, “L”, “L”, and “–U”) are hidden beneath bowls. Players must determine how many tofu cubes they consumed (“FOUR”) using only mouthfeel. Together, these elements eventually lead to the phrases “ALL FOR ONE” and “ONE FOR ALL”. (3) Course Three: Tekkadon (Tuna Rice Bowl) - One randomly chosen player receives a hidden raspberry in their dish: the “mark of the crown.” Another player gains “ace” status by finishing first, earning the power to make a critical final decision. (4) Dessert: Fruit Gelatin - The ace chooses between “ALL FOR ONE” (share the dessert) or “ONE FOR ALL” (claim the crown alone). Hidden within one dessert is a raspberry-flavored core with red dye that marks the chosen heir. Though the preparation partially failed (leaking dye), the narrative and gameplay proceeded. F1 ate the marked dessert and became the new ruler.","Signaling, Eating, Reflexing, Identifying, Discriminating",Host,FALSE,5,5,7,7,"gyoza, gyoza with wasabi, miso soup, tekkadon, tekkadon with raspberry, fruit gelatin, fruit gelatin with raspberry",,Exact,"Several ingredients played puzzle or narrative roles (e.g., wasabi as a trap, raspberry as a crown marker), meaning their exact identity mattered to gameplay and could not easily be substituted without changing the experience. Some dishes like miso soup or gelatin dessert include generalizable elements, but even then, the consistency and detectability of flavors (e.g., tofu cubes, fruit pieces) was important to maintain the structure of the puzzle.",Fixed,"The number of distinct scents/flavors per course was tightly tied to the puzzle mechanics (e.g., “one wasabi gyoza,” “four tofu cubes,” “one raspberry”). Adding or removing ingredients would break the riddle structure or reveal narrative elements prematurely.",,,,,,"Research, Niedenthal-related",,https://www.diva-portal.org/smash/record.jsf?pid=diva2%3A1482470,Human,,,,,,,,
Scent as a Sport,,2024,Analog,,,,Sassafras Patterdale,American Kennel Club,"In this game, dogs are introduced to detecting non-food scents: typically birch essential oil, which is required in AKC Scent Work at the Novice level. A few drops of the oil are placed on a cotton swab inside a small jar. Dogs are rewarded when they investigate or nose the jar, helping them associate the scent with a positive outcome. Gradually, the scent jar is moved to the floor, then hidden in simple setups like boxes. The goal is for dogs to learn to recognize the scent, respond to a verbal cue like ""search,"" and reliably indicate the location of the scent. This game builds foundational skills for scent work, whether for fun or future competition.","Detecting, Localizing, Navigating, Rewarding",Dog handler,FALSE,1,1,1,1,"treat, birch essential oil",,High,Treat needs to be food safe for a dog and edible. The odor is selected to reflect an odor from the AKC Scent Work challenges.,Fully Flexible,"Could include different smells, such as the Scent Work odors.",,,,,,,,https://www.akc.org/expert-advice/training/indoor-scent-games-for-dogs/,Dog,,,,,,,,
Scent composing origami,,2019,Analog,,,,Kouta Tsumagari,,"This experimental work features scented origami, where each pre-scented sheet of paper represents a component of a fragrance. Instead of blending liquids, scents are combined through the act of folding and assembling the origami pieces, creating a composite fragrance as a result of the structural arrangement.",Composing,None,,1,1,8,8,"linalool, phenyl ethyl alcohol, rose oxide, citroneliool, nerol, geraniol, geranyl acetate, methyl eugenol",,None,,Fully Flexible,,,,,Ueda 2020,,Art,,,Human,,,,,,,,
Scent Concentration,,2005,Digital,,,,"Yasuyuki Yanagida, Takuya Adachi, Tsutomu Miyasato, Akira Tomono, Shinjiro Kawato, Haruo Noma, Kenichi Hosaka",,"""Concentration"" is a simplified card-matching game where players match pairs of cards, but instead of visual feedback, olfactory cues are used. Each card is linked to a scent, and the scent emitted from the Scent Projector reveals the card type.","Matching, Memorizing, Racing",None,,2,2,2,,"mint, ham and egg sandwich, strawberry",,None,,Fully Flexible,,,,,Yanagida et al. 2005,,"Research, Game variant, Experimental game",,https://www.researchgate.net/publication/228714797_Integrating_a_projection-based_olfactory_display_with_interactive_audio-visual_contents,Human,,,,,,,ScentConcentration_2005,
Scent couple,,2019,Analog,,,,Yo Sasaki,,"""Scent Couple"" is a social deduction game. Six participants sit at a round table and are each given a scent (either yuzu, cherry blossom, or grass) without being told which one. Unknown to the players, two of them have been assigned the same scent. Through verbal descriptions of what they smell, participants try to identify who shares their scent. At the end, they vote on who they believe is their scent-match, using a system designed to mimic the suspenseful pair-reveal mechanics seen in dating game shows.","Matching, Labeling, Negotiating",None,,6,6,3,,"yuzu, cherry blossom, grass",,None,,Fully Flexible,Can be scaled to the number of pairs.,,,,Ueda 2020,,"Art, Translating existing game",,Really like this one,Human,,,,,,,,
Scent Discovery (from World of Coca-Cola),,2023,Mixed,,,,"Sonic Union, Scholar, Solomon Group, Local Project",,"Visitors participate in a competitive scent-identification game structured like a gameshow. Guided by a host, participants smell from one of three sets (A, B, or C), with each set containing three distinct scents presented in rounds. Players race to correctly identify each scent as quickly as possible, and successful guesses unlock new visual landscapes tied to the scent's identity.","Identifying, Racing",Host,FALSE,2,10,3,,,,None,,Fully Flexible,"One session is three smells, so increasing or decreasing would loosely go in steps of 3.",,,,,,"Museum, Educational",,"https://www.youtube.com/watch?v=XeOq7kgMfjo, https://www.worldofcoca-cola.com/about-us/press-center/media-alert/world-of-coca-cola-unveils-immersive-scent-exhibit, https://helloscholar.com/project/world-of-coca-cola-scent-discovery, https://www.localprojects.com/work/corporate-experience/world-of-coca-cola-scent-discovery/",Human,,,,,,,,
Scent hide and seek,,2019,Analog,,,,Ryotaro Fujimoto,,"In this scent-based scavenger hunt, four bleach-scented cloths were hidden throughout the exhibition space. Participants used only their sense of smell to locate the cloths, with varying odor intensities guiding them to the correct spots.",Localising,None,,1,1,1,1,bleach,,None,,Fully Flexible,,,,,Ueda 2020,,"Art, Translating existing game",,,Human,,,,,,,,
Scent Memory (from Follow Your Nose),Follow Your Nose,1991,Analog,,,,,Discovery Toys,"""Scent Memory"" is a matching game where players try to pair the most scent containers with their corresponding illustrated cards by identifying each fragrance correctly.","Matching, Identifying, Memorizing",None,,2,4,16,16,"strawberry, apple, cinnamon, pine tree, chocolate, bubble gum, banana, wood, rose, licorice, mint, cookies, soap, orange, grass, soil",,None,,Fully Flexible,,,,,Discovery Toys 1991,,Commercially available,,https://www.ebay.com/itm/275344426802,Human,,,,,,,,
Scent Race (from Follow Your Nose),Follow Your Nose,1991,Analog,,,,,Discovery Toys,"""Scent Race"" is a fast-paced game where players compete to match scent containers with the correct illustrated cards from their hand as quickly as possible. The first to match all their cards wins.","Matching, Identifying, Memorizing, Racing",None,,2,4,16,16,"strawberry, apple, cinnamon, pine tree, chocolate, bubble gum, banana, wood, rose, licorice, mint, cookies, soap, orange, grass, soil",,None,,Fully Flexible,,,,,Discovery Toys 1991,,Commercially available,,https://www.ebay.com/itm/275344426802,Human,,,,,,,,
Scent Work,,2017,Analog,,,,,American Kennel Club,"The American Kennel Club's ""Scent Work"" is a formal sport inspired by professional detection dog work, where dogs search for target odors (birch, anise, clove, cypress) hidden in various environments (isnpired by NACSW's ""Nose Work""). Handlers do not know the scent location, so they must rely on their dog's nose. Dogs communicate the discovery of a scent through specific behaviors (e.g., pawing, pointing, lying down). Trials are structured into two divisions (Odor Search and Handler Discrimination) and span four difficulty levels (Novice to Master). Searches occur in different ""Elements"": containers, interiors, exteriors, and buried objects. While competitive, the sport remains highly accessible, emphasizing teamwork and the joy of sniffing.","Detecting, Identifying, Racing, Navigating, Localizing",Dog handler,FALSE,1,,1,4,"birch, anise, clove, cypress",,None,"The scents are specific for Scent Work events, but they can be extended.",Fully Flexible,,,,,,,,,"https://www.akc.org/sports/akc-scent-work/, https://web.archive.org/web/20180205201318/https://www.akc.org/events/scent-work/getting-started/",Dog,,,,,,,,
Scented Cotton Ball Matching Game,,2015,Analog,,,,,Rhythms of Play,"""Scented Cotton Ball Matching Game"" is a DIY olfactory memory game for children that emphasizes the sense of smell. Players try to match pairs of cotton balls scented with essential oils, such as peppermint, lemon, lavender, and others. The cotton balls are placed in small, labeled containers, with only one or two drops of oil per ball. The game is played like a traditional memory matching game: players open two boxes, smell them, and try to find matching scents. If a match is made, the boxes are stacked and set aside; if not, they are returned to their spots. The game scales in difficulty from 2 to 6 scents and can be played solo or with others.","Identifying, Matching, Memorizing",Parent,FALSE,1,,3,6,,"lavender, thieves oil, lemon, stress away oil, peppermint, panaway oil",None,,Fully Flexible,,,,,,,,,https://rhythmsofplay.com/scented-cotton-ball-matching-game-for-kids/,Human,,,,,,,,
Scented Days,,2024,Digital,,,,"Eunsol Sol Choi, Yi Xie, Sihao Chen, Elin Carstensdottir, Edward Melcer",,"The game ""Scented Days"" is a scent-focused narrative experience that explores the emotional and sensory impact of losing and regaining the sense of smell, specifically in the context of COVID-19-related anosmia. Players progress through six gameplay loops that simulate day-to-day routines like waking up, doing laundry, and cooking meals. These loops are divided into three phases: full smell (normal), smell impairment (no scent), and recovered smell (return of scent).","Experiencing, Depriving",None,,1,1,6,6,"coffee, pancakes, laundry detergent, flowers, trash, shampoo",,Medium,"Smells relate to common daily activities, but emotional resonance (e.g., smell of laundry detergent, coffee, or cooked food) adds a layer of specificity.",Expandable Only,"The structure supports adding more smells or loops, but reducing them may weaken the narrative arc.",,,,Choi et al. 2024,,Research,,https://doi.org/10.1145/3665463.3678844,Human,,,,,,,,
Scented hanafuda,,2019,Analog,,,,Risako Morita,,"A scent-based reinterpretation of the traditional Japanese ""Hanafuda"" card game. Instead of visual motifs, 24 cards are infused with eight different scents representing typical Japanese ingredients like soy sauce and seaweed. In each round, players are given a predetermined target group, such as ""miso soup"" or ""fish stew."" Working collaboratively, they must identify and combine 3 to 5 scented cards that best represent the aroma profile of the target group.","Associating, Matching, Negotiating, Composing",None,,2,,8,8,"soy sauce, seaweed",,High,Scents represent specific Japanese food ingredients essential for accurate group reconstruction.,Expandable Only,"The set can be expanded, but would likely have issues if reduced.",,,,Ueda 2020,,"Art, Translating existing game",,Really like this one,Human,,,,,,,,
Scented The Alps level (from The Climb),,2019,Digital,,,,Marius Hans Braun,,"In this olfactory-enhanced VR experience, players explore a mountain landscape in the ""Alps"" level of ""The Climb."" As they move through the environment, congruent floral scents (lavender and freesia) are released when encountering purple and yellow flowers, respectively. The aim of the game is to climb through the terrain while evaluating how the presence of pleasant, matching odors influences the sense of immersion and realism.",Experiencing,None,,1,1,2,2,"purple flower (lavender), yellow flower (freesia)",,High,Scents need to match the flowers.,Fixed,Only two types of flowers in this level.,,,,,,Research,,https://openaccess.city.ac.uk/id/eprint/22379/,Human,,,,,,,,
Scenter,,2017,Digital,,,,"Jonas Olofsson, Simon Niedenthal, Marie Ehrndal, Marta Zakrzewska, Andreas Wartel, Maria Larsson",,"For the ""Scenter"" game, players navigate a forest-like environment, finding and remembering locations based on emitted scents. Players must match these scent-emitting orbs to level up, engaging with spatial and memory-based challenges linked to the sense of smell.","Memorizing, Buffing, Navigating",None,,1,1,2,,,,None,,Fully Flexible,New levels or challenges could introduce additional scents.,,,18+,Olofsson 2017,,"Research, Smell Training, Niedenthal-related",,http://journals.sagepub.com/doi/10.1177/1046878117702184,Human,,,,,,,,
Scentscape,,2019,Mixed,,,,"Nathan Cohen, Reiko Kubota",,"""Scentscape"" is an interactive sensory game that uses digital technology to link pairs of scent samples with a series of images and narratives about specific experiences or places. When a player picks up a scent sample, it triggers a display of related images on a video screen inside a box, which also contains small objects associated with each set of imagery.",Experiencing,None,,1,,6,6,,,High,"Each scent is tightly bound to a specific location, experience, or story, making substitution difficult without altering the content.",Expandable Only,"New scents can be added with corresponding stories and visuals, but the experience is curated, so reducing the set may break intended pairings.",,,,Cohen & Kubota,,"Art, Research",,https://www.olfactoryresearch.net/exerscent-olfactory-gaming,Human,,,,,,,,
Scorpion Sixes,,2022,Analog,,,,Food Fight,,"""Scorpion Sixes"" game is a food challenge for players willing to risk tasting the extreme heat of a Trinidad Scorpion Chili Pepper, hidden beneath a chocolate coating. The game includes a game board, red and yellow disks, a die, and a scratch-off ticket for added excitement. Players roll the die, and the loser faces the challenge of eating the pepper.","Eating, Experiencing, Punishing",Player,TRUE,2,,1,1,chocolate and spicy Trinidad scorpion chili pepper,,High,Challenge is specific to particular edible item.,Expandable Only,,10.95,USD,12+,,,Commercially available,,https://blaircandy.com/food-fight-scorpion-sixes-game.html,Human,,,,,,,,
Seent,,2024,Digital,,,,Ling Qin,,"A simple olfactory training system that either has you identify a smell or note the ""odd one out.""","Identifying, Discriminating",None,,1,1,4,4,"lemon, rose, clove, mint",,None,,Fully Flexible,Needs a minimum of three for an odd-one-out structure.,,,,,,"Research, Art, Smell Training",,https://www.youtube.com/watch?v=WnEL3M0w-rc,Human,,,,,,,Seent_2024,
SensaBubble Maths,,2014,Digital,,,,"Sue Ann Seah, Diego Martinez, Peter Bennett, Abhijit Karnik, Vlad Stefan Otrocol, Jarrod Knibbe, Andy Cockburn, Sriram Subramanian",,"In the SensaBubble math quiz game, players solve math problems, and their answers are linked to olfactory feedback. When a player answers correctly, a pleasant-scented bubble, such as one filled with perfume, is released. If the player answers incorrectly, a bubble containing an unpleasant scent, like rotten eggs, is produced. ","Rewarding, Punishing",None,,1,,2,2,"pleasant (perfume), unpleasant (rotten eggs)",,Low,The pleasant/unpleasant distinction allows for flexible substitutions as long as the emotional valence is maintained.,Fixed,,,,,Seah et al. 2014,,"Research, Educational game, Serious game, Experimental game",,https://dl.acm.org/doi/10.1145/2556288.2557087,Human,,,,,,,,
Sense of Smell Test,,2009,Analog,,,,Robert Melillo,,"In the ""Sense of Smell Test"" game, children test their sense of smell using essential oils on cotton balls inside unmarked containers. The game assesses general smell detection and sensitivity in each nostril. Players are asked to close one nostril and identify smells, starting from 12 inches away and moving closer until detection occurs. Familiar scents like lemon, peppermint, or coffee are used. The game is made fun and engaging while providing valuable information on the child's olfactory abilities.","Detecting, Identifying",Player,TRUE,2,2,1,,,,None,,Fully Flexible,,,,,Melillo 2009,melillo_disconnected_2009,"Research, Assessment game, Informal game, Diagnostic game, Clinical game",,https://archive.org/details/disconnectedkids0000meli/page/144/mode/2up?q=smell+game,Human,,,,,,,N.A.,pg 144-145
SenxShip,,2004,Digital,,,,"The Dimension's Edge, Inc.","The Dimension's Edge, Inc.","A simple web game where players control a spaceship, looking like a SENX Sampler device, tasked with shooting down incoming enemy scents. Each enemy scent—represented by aromas like popcorn, pine, rose, peppermint, and strawberry—poses a threat: colliding with one costs a life, while letting them pass lowers the score. Scoring 20 points rewards the player with a scent experience through the SENX Sampler.",Rewarding,None,,1,1,1,1,,,None,,Fixed,,,,,"The Dimension's Edge, Inc.",,"Commercially available, Networked, Conditioning game",,https://www.youtube.com/watch?v=Hscxn9cJ2Nc,Human,,,,,,,,
Smell & Match Puzzle,,1986,Analog,,,,Donald Spector,,Simple puzzle where the player has to put the scented pieces into the slots so that the scent is next to the matching fruit.,"Matching, Identifying",None,,1,1,6,6,"lime, apple, cherry, grape, orange, banana",,Low,Needs to be fruit scents.,Fully Flexible,,,,,Spector 1986,,"Commercial game, Tabletop game",,https://www.google.com/books/edition/Official_Gazette_of_the_United_States_Pa/gQLPAAAAMAAJ?hl=en&gbpv=1&dq=%22smell+game%22&pg=PA1303&printsec=frontcover,Human,,,,,,,,
Smell & Tell,,2024,Analog,,,,"Solène Cauvin-Wirz, Zoe Cogger",,"""Smell & Tell"" is a memory-stimulating board game for care home residents that uses familiar scents to spark conversations and evoke memories. Players take turns identifying and describing a variety of scents associated with foods (like chocolate and cinnamon) and places (such as ""kitchen"" and ""wardrobe"") that connect to everyday life. As players recognize smells, they share personal memories or associations tied to each scent, creating a nostalgic and engaging experience. The game fosters social interaction, helping players bond through storytelling and sensory exploration, making it especially suitable for older adults to enhance mood and connection.","Recalling, Experiencing",None,,2,,4,,,,None,,Fully Flexible,,,,60+,,,"Commercially available, Smell Training",,https://www.fragrancematters.org/smell-and-tell,Human,,,,,,,,
Smell and Tell,,2018,Analog,,,,Chris Bergstrom,Blissful Kids,"""Smell and Tell"" is a mindfulness-based olfactory game for children that promotes calm, focus, and sensory awareness. In this activity, children close their eyes (or wear a beanie as a blindfold) and smell various familiar scents placed in small containers such as paper cups or spice jars. Players are encouraged to slow down, notice the differences between smells, and describe how each scent makes them feel.","Labeling, Discriminating",Parent,FALSE,2,,1,,,"cilantro, apple, banana, raisin, ketchup, mustard, peanut butter, popcorn, spices, essential oils, vanilla, cocoa, socks, cinnamon, cardamom, almond oil, grapefruit oil, peppermint, lavender, pine needles, scented soaps, scented candles",None,,Fully Flexible,,,,4+,,,,,https://blissfulkids.com/mindfulness-kids-smell-tell-sensory-awareness-game/,Human,,,,,,,,
Smell chicken race,,2019,Analog,,,,Taiki Isogawa,,"In this game, two blindfolded players face each other and compete to locate the origin of a scent. Upon receiving a start signal, both approach the smell source and stop when they believe they are directly in front of it. The player who gets closest to the actual source wins. The chosen scent was takuan (pickled radish), selected for its strong and easily detectable fermented aroma.",Localizing,None,,2,2,1,1,takuan (pickled radish),,Medium,The scent must be strong and distinct enough to enable directional tracking.,Fixed,,,,,Ueda 2020,,"Art, Translating existing game",,Competitive,Human,,,,,,,,
Smell dice,,2019,Analog,,,,Takaki Kaneshiro,,"This toy centers around a scented six-sided die, with each face embedded with a different scent.",Composing,None,,1,1,6,6,,,,,,,,,,Ueda 2020,,"Art, Translating existing game",,,Human,,,,,,,,
Smell discovery,,2000,Analog,,,,Ken Redgrave,,"In this smell discovery game, players explore different areas of a house, clinic, or school to identify various scents. Players can sniff around the house, in cupboards with cleaning materials, or even in the garden if available. It encourages exploration and interaction with the environment through smell, turning familiar places into a sensory adventure.","Navigating, Detecting, Experiencing",None,,1,,1,,,,None,,Fully Flexible,,,,,Redgrave 2000,redgrave_care-therapy_2000,"Informal game, Educational gam",,https://archive.org/details/caretherapyforch0000redg/page/144/mode/2up?q=smell+game,Human,,,,,,,,
Smell Factory,,2014,Analog,,,,Max Vandewiele,,"In ""Smell Factory,"" players enter a whimsical world where ""Smell Trolls"" manage all the scents in the world at the Smell Factory. Players act as new employees tasked with restoring order by matching assigned smells to one of 30 odor vials, each holding a unique scent. The game includes smell pads for tracking previous guesses, Smell and Whiff Cards for gameplay challenges, and the Smell Vault for answers. With both pleasant and unpleasant scents, players navigate the board to find the correct matches and bring sanity back to the factory.","Identifying, Matching",,,,,30,30,,,,,,,,,,Vandewiele 2014,,Tabletop game,,https://web.archive.org/web/20141101225821/http://macklinmax.com/smell,Human,,,,,,,,
Smell Game,,1979,Analog,,,,Mary Stetten,,"This is a simple scent-based guessing game using empty plastic containers filled with small amounts of food. After the containers sit sealed at room temperature to concentrate the aromas, players take turns opening each lid slightly to sniff without looking inside and try to guess the food by smell alone.",Identifying,None,,1,,6,6,"chocolate, orange, apple, peanut butter, vanilla, onion",,,,,,,,Children,Stetten 1979,stetten_lets_1979,Informal game,,,Human,,,,,,,,
